zaretzki_index,atomic_index,zaretzki_atomic_index,relative_ir,som_level
73,22,73022,0.7258430253821959,0
73,23,73023,0.7258430253821959,0
91,11,91011,0.7288105413105413,0
123,32,123032,0.73470645189684,0
123,33,123033,0.73470645189684,0
123,34,123034,0.73470645189684,0
137,37,137037,0.7335698282300225,0
167,28,167028,0.7486514620989874,0
167,29,167029,0.7485568278603199,0
240,18,240018,0.7066213572237668,0
20,23,20023,0.7539059337812678,0
33,10,33010,0.7969932200058956,0
63,9,63009,0.7966750388709485,0
73,11,73011,0.7714870894594398,0
73,26,73026,0.7886767610269915,0
73,30,73030,0.7692195157632946,0
85,9,85009,0.7791318199920351,0
167,27,167027,0.7696602630831834,0
167,31,167031,0.751679757736349,0
61,22,61022,0.8311366452630394,0
61,24,61024,0.8304607412414104,0
92,13,92013,0.8325156873930405,0
219,32,219032,0.8426744404739515,0
268,21,268021,0.8386271164194776,0
268,22,268022,0.8386271164194776,0
268,23,268023,0.8386271164194776,0
16,12,16012,0.8627606228556347,0
16,22,16022,0.8986539984164686,0
16,51,16051,0.8624967009765109,0
43,12,43012,0.8891947083370328,0
43,16,43016,0.8891947083370328,0
43,20,43020,0.8798721477403889,0
91,9,91009,0.884170227920228,0
91,20,91020,0.8699252136752138,0
109,13,109013,0.8630611751430645,0
109,17,109017,0.8598371886838077,0
116,29,116029,0.8993810639009703,0
123,17,123017,0.8752750638148049,0
123,19,123019,0.8752750638148049,0
130,38,130038,0.8622327790973872,0
130,43,130043,0.8979502067388053,0
142,10,142010,0.8921340570345482,0
142,15,142015,0.8921340570345482,0
182,18,182018,0.8804358400622627,0
187,8,187008,0.870055517002082,0
219,18,219018,0.8768102313334587,0
235,13,235013,0.8850510677808728,0
235,15,235015,0.8850510677808728,0
245,14,245014,0.8826829676771061,0
245,21,245021,0.8779936359068832,0
268,2,268002,0.8972306076912981,0
268,3,268003,0.8799054994093715,0
285,29,285029,0.897329425175053,0
290,18,290018,0.8936042524005487,0
290,19,290019,0.8936042524005487,0
309,29,309029,0.8644793152639088,0
309,30,309030,0.8644793152639088,0
309,31,309031,0.8644793152639088,0
309,32,309032,0.8644793152639088,0
20,24,20024,0.9287622439893144,0
89,18,89018,0.9207134171057964,0
89,20,89020,0.9207134171057964,0
91,22,91022,0.9279736467236468,0
92,12,92012,0.9010838562464346,0
92,25,92025,0.9010838562464346,0
109,20,109020,0.9241557185459822,0
167,21,167021,0.9149238194378724,0
182,32,182032,0.9299542757077536,0
187,7,187007,0.9104788341429564,0
245,12,245012,0.9166806230112208,0
245,23,245023,0.9403784960643108,0
267,14,267014,0.9446688701187416,0
447,22,447022,0.921826303760648,0
447,23,447023,0.949252025763557,0
18,20,18020,1.0,0
20,15,20015,0.9637335060309238,0
20,18,20018,0.9655144499311908,0
33,7,33007,0.9511643902918344,0
34,26,34026,1.0,0
34,27,34027,1.0,0
39,12,39012,0.991148843930636,0
39,15,39015,1.0,0
51,26,51026,1.0,0
73,10,73010,0.9519420671494404,0
85,20,85020,0.980884109916368,0
107,14,107014,0.972668297351909,0
116,13,116013,0.9865339578454332,0
118,26,118026,1.0,0
118,27,118027,1.0,0
137,27,137027,1.0,0
158,17,158017,0.9812289427242098,0
178,6,178006,0.9796886276935766,0
189,9,189009,0.9554183233229,0
212,13,212013,0.99119900038029,0
212,14,212014,0.99119900038029,0
212,21,212021,0.965502254577063,0
212,24,212024,0.965502254577063,0
240,20,240020,1.0,0
267,11,267011,1.0,0
268,4,268004,1.0,0
271,18,271018,0.9997239856472536,0
280,25,280025,1.0,0
285,41,285041,1.0,0
287,14,287014,0.9791018230324589,0
309,23,309023,1.0,0
447,14,447014,0.9754311240390608,0
447,17,447017,0.9744961562435072,0
